event_name,event_startdate,event_enddate,event_category
Arabic Music Concert,2024-10-01,2024-10-02,concerts
Traditional Dance Performance,2024-10-05,2024-10-06,arabic events
Matini Show,2024-10-02,2024-10-05,nightlife
Arabic Music Concert,2024-10-06,2024-10-25,concerts
Traditional Dance Performance,2024-10-06,2024-10-25,arabic events
Matini Show,2024-10-06,2024-10-25,nightlife
Arabic Music Concert,2024-10-06,2024-10-22,shows
Arabic Music Concert,2024-10-31,2024-11-25,concerts
Traditional Dance Performance,2024-11-06,2024-11-15,arabic events
Matini Show,2024-11-17,2024-11-25,nightlife
